#id_owner,accountno,accountstatus,country
BO1000,100000000,Active,United States
BO1000,100000001,Dormant,India
BO1000,100000002,Active,Canada
BO1000,100000003,Active,United Kingdom
BO1000,100000004,Dormant,South Africa
BO1000,100000005,Active,Singapore
BO1000,100000006,Active,China
BO1000,100000007,Active,Korea
BO1000,100000008,Active,japan
BO1000,100000009,Active,Germany
BO1000,100000010,Active,Spain
BO1000,100000011,Active,Italy
BO1000,100000012,Active,Mexico
BO1000,100000013,Active,Hong Kong
BO1000,100000014,Active,United States
BO1000,100000015,Active,India
BO1000,100000016,Active,Canada
BO1000,100000017,Active,United Kingdom
BO1000,100000018,Active,South Africa
BO1000,100000019,Active,Singapore
BO1000,100000020,Active,China
BO1000,100000021,Active,Korea
BO1000,100000022,Active,japan
BO1000,100000023,Active,Germany
BO1000,100000024,Active,Spain
BO1000,100000025,Active,Italy
BO1000,100000026,Active,Mexico
BO1000,100000027,Active,Hong Kong
BO1000,100000028,Active,United States
BO1000,100000029,Active,India
BO1000,100000030,Active,Canada
BO1000,100000031,Active,United Kingdom
BO1000,100000032,Active,South Africa
BO1000,100000033,Active,Singapore
BO1000,100000034,Active,China
BO1000,100000035,Active,Korea
BO1000,100000036,Active,japan
BO1000,100000037,Active,Germany
BO1000,100000038,Active,Spain
BO1000,100000039,Active,Italy
BO1000,100000040,Active,Mexico
BO1000,100000041,Active,Hong Kong
BO1000,100000042,Active,United States
BO1000,100000043,Active,India
BO1000,100000044,Active,Canada
BO1000,100000045,Dormant,United Kingdom
BO1000,100000046,Active,South Africa
BO1000,100000047,Active,Singapore
BO1000,100000048,Active,China
BO1000,100000049,Active,Korea
BO1001,100000050,Active,japan
BO1001,100000051,Active,Germany
BO1001,100000052,Active,Spain
BO1001,100000053,Active,Italy
BO1001,100000054,Active,Mexico
BO1001,100000055,Active,Hong Kong
BO1001,100000056,Active,United States
BO1001,100000057,Active,India
BO1001,100000058,Active,Canada
BO1001,100000059,Active,United Kingdom
BO1001,100000060,Active,South Africa
BO1001,100000061,Active,Singapore
BO1001,100000062,Active,China
BO1001,100000063,Active,Korea
BO1001,100000064,Active,japan
BO1001,100000065,Active,Germany
BO1001,100000066,Active,Spain
BO1001,100000067,Active,Italy
BO1001,100000068,Active,Mexico
BO1001,100000069,Active,Hong Kong
BO1001,100000070,Active,United States
BO1001,100000071,Active,India
BO1001,100000072,Active,Canada
BO1001,100000073,Active,United Kingdom
BO1001,100000074,Active,South Africa
BO1001,100000075,Active,Singapore
BO1001,100000076,Active,China
BO1001,100000077,Active,Korea
BO1001,100000078,Active,japan
BO1001,100000079,Active,Germany
BO1001,100000080,Active,Spain
BO1001,100000081,Active,Italy
BO1001,100000082,Active,Mexico
BO1001,100000083,Active,Hong Kong
BO1001,100000084,Active,United States
BO1001,100000085,Active,India
